Time,Susceptible,Exposed,Infected,Recovered/Vaccinated,Total Population
31,34256414.671614215,102.2252845037875,57.14183862508615,5743418.361123076,39999990.81448679
32,34085530.293591276,117.2998228084077,65.74539922015062,5914277.875017701,39999989.219124936
33,33915493.900515884,134.51299568338052,75.5970121821628,6084285.839362955,39999987.34780541
34,33746300.66563041,154.155729284434,86.87057164844282,6253446.590384987,39999985.15278914
35,33577945.706877455,176.55674133240652,99.76315737841972,6421764.4550647335,39999982.57807862
36,33410424.077126313,202.0872044702853,114.49797913220277,6589243.752830101,39999979.55798934
37,33243730.7532417,231.16595301696202,131.32767536721244,6755888.797448328,39999976.015474014
38,33077860.623866152,264.26529145001206,150.53800575257193,6921703.899142139,39999971.86015714
39,32912808.47577132,301.91747000039226,172.45198198610817,7086693.366956605,39999966.98602938
40,32748568.978619687,344.7218987645944,197.43448559330295,7250861.511406253,39999961.26874336
41,32585136.667961862,393.3531787359582,225.8974264502329,7414212.647435364,39999954.56244158
42,32422505.926276393,448.5700358831328,258.30550139298913,7576751.097727991,39999946.696035884
43,32260670.961839724,511.22525282520115,295.18261821138975,7738481.196408254,39999937.46884341
44,32099625.785193935,582.2767009829147,337.1190564995969,7899407.293175552,39999926.64546788
45,31939364.182953577,662.7995871142751,384.7794450022173,8059533.757924803,39999913.94979579
46,31779879.688671038,754.0000375790636,438.9116417499632,8218864.985906426,39999899.05795445
47,31621165.55045171,857.2301552097309,500.35661194503336,8377405.403486761,39999881.5900527
48,31463214.69497887,974.0046965578758,570.0594084523135,8535159.4745763,39999861.1004936
49,31306019.68757751,1106.0195299679392,649.0813691318381,8692131.707799697,39999837.066612944
50,31149572.687910594,1255.1720499486769,738.6136558065078,8848326.664489442,39999808.875353955
51,30993865.40086444,1423.5837372617975,839.9922720312896,9003748.967593053,39999775.80763973
52,30838889.02213758,1613.6250719463599,954.7147090117239,9158403.311593171,39999737.02004567
53,30684634.178004123,1827.9430236832904,1084.4583825931682,9312294.473549647,39999691.52330644
54,30531090.85867764,2069.4913611900024,1231.101038588762,9465427.325383117,39999638.15711187
55,30378248.344641615,2341.5640458052435,1396.7433221045171,9617806.847533194,39999575.56055206
56,30226095.12527193,2647.8319909888273,1583.7337183723112,9769438.144134182,39999502.13746298
57,30074618.809004374,2992.3834959641563,1794.6960959057521,9920326.459868347,39999416.01579518
58,29923806.02424885,3379.7686807263444,2032.5600992662228,10070477.19866915,39999314.9999785
59,29773642.310176466,3815.048279454628,2300.5946602055233,10219895.944465436,39999196.51508057
60,29624111.996439733,4303.847171995319,2602.444917754636,10368588.484174151,39999057.541352265
61,29475198.070810895,4852.413059079312,2942.172862108773,10516560.83316838,39998894.53751498
62,29326882.033640783,5467.680716995863,3324.3020415682686,10663819.26346912,39998703.350866556
63,29179143.737961933,6157.342295403677,3753.8666952416593,10810370.334930262,39998479.11195915
64,29031961.21397528,6929.9241454155745,4236.465704639415,10956220.92970978,39998216.111226045
65,28885310.476561494,7794.8706997075415,4778.321784786154,11101378.29034784,39997907.65449848
66,28739165.314367697,8762.635953216848,5386.346364442292,11245850.061799323,39997545.893847466
67,28593497.05893339,9844.783116082242,6068.210633386069,11389644.337795421,39997121.629601724
68,28448274.332213834,11054.093036120115,6832.423270105561,11532769.711943319,39996624.07872009
69,28303462.77076605,12404.682015323297,7688.41538864995,11675235.334004246,39996040.60392329
70,28159024.724772744,13912.129656022056,8646.633276762566,11817050.971824823,39995356.39710675
71,28014918.929982748,15593.617388138766,9718.639528952366,11958227.079435097,39994554.109550044
72,27871100.150561754,17468.078337022842,10917.223204469798,12098774.871865036,39993613.42030171
73,27727518.790764995,19556.35919132065,12256.519668482319,12238706.40727306,39992510.53284194
74,27584120.47334941,21881.394687313816,13752.140780126003,12378034.677004457,39991217.58870792
75,27440845.58249406,24468.395332747754,15421.316140656523,12516773.704268996,39989701.98521074
76,27297628.76892864,27345.048972744895,17283.046134476423,12654938.652180612,39987925.5826932
77,27154398.415243834,30541.736633479348,19358.26742162535,12792545.941877032,39985843.785004355
78,27011076.0591447,34091.76306578511,21670.031619490503,12929613.381550118,39983404.47505287
79,26867575.77258576,38031.60226306353,24243.697858133648,13066160.307236094,39980546.78553994
